Relacionarse;Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;SI
8;58;49;319;227;14;29;6;60;1
4;36;46;237;149;22;42;6;27;0
16;204;166;1128;1028;102;357;31;197;3
6;55;19;267;87;9;36;2;15;0
4;62;46;213;186;24;52;8;34;0
9;107;69;553;401;38;139;6;119;0
1;5;17;38;52;7;21;4;1;0
6;52;92;347;279;37;67;58;45;0
5;110;76;499;433;44;91;3;190;0
8;11;30;49;111;22;38;2;23;0
27;326;202;2578;1058;107;262;25;380;4
10;110;32;783;156;22;41;2;53;0
2;89;57;455;348;37;60;5;55;0
3;92;95;496;298;29;58;9;56;0
67;575;396;3025;2186;247;620;45;659;5
10;127;112;1050;528;89;183;14;258;2
10;69;49;423;473;48;76;12;74;1
7;56;85;258;185;12;74;8;29;0
7;77;46;374;294;62;35;11;50;0
8;63;101;176;256;19;80;8;27;3
13;55;45;281;226;47;50;11;31;0
2;58;20;372;115;26;15;3;71;1
7;165;97;1118;624;58;57;9;120;1
4;4;10;39;58;8;6;4;11;0
5;30;36;152;105;14;37;3;36;0
1;51;36;342;213;28;41;4;67;0
11;125;79;531;221;27;78;9;88;1
10;67;66;408;239;27;33;8;52;0
7;280;100;1529;671;82;110;7;135;0
1;63;27;271;162;27;16;7;25;0
19;151;119;915;562;57;177;9;132;0
12;49;38;542;285;25;47;6;48;0
9;73;72;496;404;88;85;10;86;2
2;16;26;35;77;9;31;1;4;0
9;39;35;255;265;52;110;4;66;1
16;166;75;762;619;134;115;11;235;0
6;85;67;412;320;49;72;8;51;3
9;112;46;536;199;31;41;6;25;1
7;77;52;415;247;23;56;5;49;0
13;121;75;486;365;50;72;1;98;1
65;434;206;4126;1632;226;500;45;623;3
4;101;43;252;147;17;55;4;17;0
4;52;64;176;236;44;69;7;57;0
7;82;46;333;317;47;80;17;93;0
132;1034;318;4554;3135;445;780;95;1185;9
1;54;16;136;125;6;17;3;29;0
10;215;59;971;598;90;52;9;273;0
8;46;24;249;214;15;41;3;61;0
10;130;38;526;353;28;44;5;136;1
2;20;9;75;116;6;19;0;40;0
2;20;9;43;93;11;14;1;6;0
2;137;44;293;381;25;55;6;77;1
6;41;14;154;172;21;36;7;73;0
2;26;17;105;96;4;14;4;33;0
8;71;28;226;182;12;42;7;33;0
2;10;3;20;21;4;5;3;5;0
3;34;11;120;185;33;44;3;58;0
1;37;14;150;154;21;21;1;33;0
5;71;11;142;170;23;22;4;49;0
3;57;15;83;162;17;34;2;24;0
32;337;131;1011;1063;127;254;27;309;0
6;92;29;183;254;43;50;3;100;0
14;149;21;337;320;71;46;5;121;0
4;25;9;55;118;15;18;3;24;0
1;45;12;180;84;9;24;1;42;0
1;67;14;194;301;28;42;5;106;0
10;124;28;324;276;61;56;6;126;0
4;16;12;9;20;4;7;1;3;0
0;37;8;168;154;3;16;1;17;0
2;56;15;129;221;32;22;1;105;0
0;31;12;105;91;24;26;2;44;2
4;24;20;136;146;24;19;10;53;0
1;31;12;119;59;9;11;0;17;0
4;17;7;38;65;5;19;9;10;0
3;15;6;63;91;6;11;2;31;0
77;944;256;2811;2599;307;572;60;914;8
4;62;13;136;124;12;18;4;49;0
1;25;11;80;100;11;21;1;54;0
4;102;28;287;282;21;25;5;65;1
7;62;6;202;227;21;52;0;78;0
1;54;7;282;225;38;36;4;87;0
2;43;17;147;113;12;10;1;33;1
9;156;41;285;546;43;109;10;113;0
3;22;4;24;27;2;11;1;5;0
10;80;29;137;305;38;45;9;78;0
3;71;13;175;268;22;45;3;82;0
2;39;8;84;100;14;10;3;36;1
1;28;4;67;46;11;14;2;14;0
9;50;22;119;156;19;16;8;39;1
4;43;14;122;126;12;12;3;58;0
3;56;29;192;149;54;28;5;60;0
4;57;13;147;250;21;29;3;63;0
0;20;9;74;53;5;0;0;12;0
3;60;6;126;77;6;10;3;21;1
0;90;29;252;251;54;59;7;98;1
1;41;10;105;162;8;26;3;55;0
2;96;43;332;300;47;36;2;80;0
18;119;20;353;470;41;66;4;171;0
4;77;23;329;248;28;19;4;125;0
3;47;22;177;142;35;22;3;34;0
10;172;72;372;422;78;112;6;194;4
3;50;10;110;105;4;13;2;31;0
5;84;28;279;195;23;56;3;80;0
4;130;23;529;312;36;60;16;100;0
1;47;14;186;247;25;48;4;97;0
4;54;10;173;134;18;23;2;51;0
12;50;18;134;156;23;34;4;37;0
9;62;13;217;173;5;37;3;82;0
3;57;17;243;216;28;30;3;58;0
30;214;73;644;866;110;183;7;254;3
1;12;5;46;44;8;13;1;12;0
2;20;8;13;35;5;4;0;2;0
7;28;13;69;100;12;36;6;18;0
3;54;6;132;53;6;8;0;12;0
1;60;13;134;129;2;33;14;27;0
5;119;19;410;315;35;39;11;128;0
1;15;6;70;55;9;4;0;12;1
24;301;150;1259;927;122;215;18;223;0
1;6;3;21;32;6;9;1;4;0
3;78;23;286;320;32;45;12;91;0
0;36;14;80;150;12;22;0;36;0
2;37;12;48;64;11;8;0;24;0
13;107;36;169;304;33;67;10;96;0
3;32;13;106;89;19;25;0;24;0
10;59;33;174;291;37;53;14;64;0
5;37;12;131;124;13;29;1;24;0
4;50;18;73;126;17;34;5;27;0
2;35;15;20;45;8;21;0;3;0
2;96;34;135;175;12;14;4;41;0
2;53;25;148;168;9;18;3;32;0
1;39;18;144;63;9;26;2;29;0
10;55;37;128;153;45;35;1;51;0
3;39;17;176;151;16;19;3;68;0
6;56;30;89;194;25;26;8;57;1
3;26;19;87;129;8;9;2;39;0
1;18;10;113;107;9;18;2;22;0
1;19;2;78;58;7;9;3;20;0
6;83;25;287;308;32;27;11;129;0
3;124;27;318;312;43;65;3;82;1
11;112;38;355;314;66;69;9;128;0
14;41;32;96;103;17;16;6;24;0
82;768;201;2863;2008;258;458;46;961;19
8;83;13;194;278;15;40;2;87;0
2;6;6;18;54;8;6;4;24;0
8;46;30;181;229;24;31;7;45;0
2;45;16;231;245;26;52;2;57;0
1;39;12;139;112;10;14;2;65;0
1;48;17;138;234;19;35;2;56;0
1;63;22;174;198;20;20;4;58;0
6;46;15;156;139;12;12;4;18;0
3;37;15;136;250;31;34;2;82;1
8;94;37;388;408;31;58;5;238;0
6;81;16;233;247;45;50;4;89;1
1;55;15;106;142;14;28;6;62;0
1;36;11;76;115;17;15;2;26;0
17;33;9;167;237;30;35;10;83;0
4;69;18;231;222;21;18;2;45;0
2;51;18;341;187;45;23;3;69;0
1;36;16;62;58;8;18;4;39;0
0;22;9;134;98;14;16;0;26;0
1;101;28;387;397;44;75;7;104;0
2;34;12;196;203;19;37;5;89;0
0;10;8;41;34;4;0;0;2;0
7;61;23;227;316;34;53;4;94;4
15;110;30;604;534;61;104;16;181;1
2;31;19;92;144;8;13;4;39;0
8;66;26;205;226;18;20;3;47;0
349;3656;775;12946;10164;1415;2531;200;3276;29
25;152;62;714;744;104;154;6;467;15
33;355;124;1196;1057;170;245;20;456;5
4;143;31;309;221;28;49;11;66;0
9;105;28;451;307;45;60;3;139;0
27;283;88;817;971;179;246;29;346;3
10;97;51;270;272;37;52;9;112;0
43;258;152;857;1003;128;372;27;259;4
6;45;19;183;233;15;29;2;56;0
18;246;80;916;812;144;136;11;326;0
5;79;19;279;220;28;29;3;93;0
11;170;63;565;433;74;83;9;93;8
1;25;3;68;112;18;17;3;13;1
32;123;58;375;475;94;113;15;196;0
6;48;40;270;226;38;50;3;64;2
11;93;25;157;339;57;81;13;90;0
8;97;42;249;252;37;57;5;47;0
17;160;61;554;570;85;139;4;174;1
47;670;199;1679;1794;263;264;27;430;2
3;106;24;332;241;36;45;6;87;3
12;166;56;534;592;86;119;9;131;4
22;167;47;965;771;161;107;11;291;1
1;65;15;116;171;26;38;0;62;0
26;290;103;1362;1242;195;197;16;306;0
7;44;17;112;162;23;50;8;30;0
37;398;125;948;1093;155;375;23;185;2
3;150;36;403;396;53;117;7;123;0
88;804;402;3487;2637;407;662;76;694;20
3;16;11;80;103;22;31;14;38;1
7;44;21;172;158;36;44;3;42;1
11;180;153;811;459;123;84;10;115;71
5;66;37;328;225;56;32;3;52;1
7;171;67;928;536;61;92;11;149;0
6;108;36;508;341;59;84;6;111;1
