Relacionarse;Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;SI
2;1;5;7;17;2;3;1;2;0
10;57;31;318;170;24;55;9;63;0
14;242;171;1402;746;86;184;24;175;1
19;122;115;450;490;76;144;10;91;2
19;100;101;395;328;56;93;11;96;0
0;4;14;33;33;3;9;1;1;0
4;23;31;55;62;12;18;3;4;0
5;95;40;399;273;34;65;3;81;0
9;50;70;251;259;25;68;5;31;0
3;47;31;228;150;21;49;4;72;0
7;56;68;301;280;32;56;4;57;0
5;57;52;164;144;33;36;3;27;0
13;75;80;546;222;32;43;10;70;0
8;101;47;312;232;29;54;6;66;0
6;71;39;371;139;18;21;3;48;1
24;173;188;934;636;97;164;23;166;0
259;2031;905;5874;6157;930;1740;208;1395;31
31;392;192;1433;1357;217;335;44;366;3
2;32;22;117;74;9;19;1;12;0
3;38;15;199;84;11;23;2;9;0
9;72;27;298;199;39;53;6;42;0
3;63;26;267;193;40;29;2;35;0
8;134;71;474;391;38;83;17;60;0
2;27;8;70;66;9;11;1;33;0
9;35;31;121;163;24;47;2;22;0
1;54;12;116;81;19;30;0;9;0
9;72;30;435;248;40;49;6;216;0
28;283;181;908;905;103;216;26;149;4
9;108;30;406;327;57;82;9;94;0
0;28;10;81;50;8;5;0;11;5
2;72;38;327;223;43;48;2;69;3
9;136;97;671;296;64;49;17;109;22
2;29;37;123;119;37;18;2;31;1
6;98;24;412;245;39;38;13;78;2
4;34;16;100;134;36;29;7;61;0
10;184;87;904;278;62;48;8;119;1
14;156;69;471;354;45;93;6;94;1
9;38;15;155;176;20;42;10;55;0
5;89;41;609;329;72;39;3;154;1
11;109;53;428;320;57;90;11;75;0
12;56;41;255;157;26;33;6;30;0
3;107;30;371;194;47;40;2;37;0
0;24;4;63;52;5;7;2;12;0
9;104;50;243;311;52;96;10;60;0
9;170;39;881;492;73;81;7;131;1
287;4368;833;13849;11142;1962;2542;211;2513;31
20;214;82;704;668;91;83;6;265;1
4;131;27;406;433;74;51;6;83;1
11;159;38;244;235;36;77;4;34;0
11;204;43;429;302;54;68;6;63;0
20;212;236;1376;601;75;116;19;146;140
4;185;28;673;435;33;47;2;62;0
30;382;119;1107;775;139;143;7;195;1
7;145;68;303;172;39;56;5;125;0
5;269;57;555;479;77;130;9;85;0
6;170;39;424;472;59;59;5;64;0
7;258;54;474;512;85;74;24;136;0
3;156;22;285;299;38;48;8;64;0
18;360;92;908;906;105;109;11;158;0
5;63;15;162;204;28;30;0;47;0
15;278;57;769;347;61;64;5;142;0
4;128;125;571;392;61;142;15;85;235
6;155;39;392;318;26;70;9;78;1
11;153;27;491;320;52;81;8;99;1
17;383;77;1507;1130;129;164;4;497;4
18;194;35;411;462;98;79;10;182;0
10;203;49;426;394;49;61;4;63;0
11;211;42;524;478;55;43;13;72;0
6;285;58;844;680;77;79;6;228;0
6;142;23;455;388;57;75;7;77;0
7;113;21;274;289;50;37;5;65;0
11;141;22;337;363;58;28;4;163;0
64;1430;300;3121;2577;289;390;54;429;7
19;130;109;355;523;50;122;12;387;0
9;282;57;873;697;111;88;6;146;0
4;79;16;355;226;32;56;3;62;5
1;54;65;294;77;11;25;1;11;3
49;497;151;1171;1105;174;286;19;419;0
4;107;25;285;137;36;51;11;55;0
11;362;76;1157;778;102;97;14;101;0
10;157;53;619;509;74;84;13;145;7
8;55;82;512;255;44;63;13;75;36
8;92;31;178;212;40;54;7;45;0
3;36;29;140;98;21;27;3;10;8
4;44;10;154;93;10;29;5;15;0
7;122;82;502;335;41;58;15;63;22
5;85;20;225;338;56;35;9;57;0
3;63;35;282;176;36;23;3;23;0
12;118;47;501;314;50;29;0;59;0
9;165;36;363;332;29;54;8;29;0
7;70;21;157;128;14;34;10;25;0
3;216;25;377;463;48;49;7;67;1
22;319;49;848;941;155;142;12;170;0
6;192;118;503;328;52;52;16;81;32
4;76;134;223;139;24;25;3;43;40
37;559;142;1482;1416;247;261;15;425;4
24;251;88;646;562;132;204;7;169;1
9;178;49;298;249;58;75;3;39;3
21;704;173;1804;1150;178;184;13;366;1
14;389;101;987;788;122;143;7;312;2
8;112;57;223;236;34;65;7;54;0
5;63;63;289;160;24;92;11;29;60
8;188;57;451;397;64;59;9;72;6
5;182;30;649;537;70;47;4;109;0
47;367;99;914;1122;136;184;9;239;2
5;164;38;194;218;42;49;2;58;0
64;672;462;3020;2023;293;315;74;418;114
36;529;136;954;1133;214;252;28;207;0
12;316;44;874;636;106;109;7;159;1
365;4314;1635;23079;14227;1877;3163;249;4536;41
13;290;109;1090;710;72;167;18;363;4
8;111;47;624;440;57;77;2;128;1
8;118;35;377;226;21;30;0;95;0
3;37;30;220;243;25;21;3;58;0
2;45;13;85;129;18;27;2;42;0
7;50;24;101;146;13;46;5;24;1
10;226;67;940;559;79;116;16;168;0
8;144;58;540;362;44;57;6;137;1
15;226;94;1300;756;73;145;11;339;23
6;76;20;209;102;5;12;5;43;0
0;22;6;82;89;21;15;3;14;0
3;88;65;313;210;27;61;6;33;27
9;170;110;842;486;54;66;8;197;0
10;142;70;762;574;68;81;14;147;0
3;144;40;335;198;19;19;5;30;0
5;74;55;552;373;44;59;2;181;0
0;68;13;302;176;20;18;0;39;0
4;103;34;328;192;18;22;7;35;0
2;82;40;342;171;10;32;13;45;1
9;70;18;497;229;21;56;4;137;0
54;695;217;4503;2330;452;512;32;862;2
5;46;12;227;109;21;22;3;28;0
5;72;23;221;202;19;26;1;22;0
80;992;386;5589;2893;341;689;82;1361;13
31;403;121;1496;1224;141;273;21;363;0
1;95;28;296;285;43;33;1;61;0
5;43;18;125;62;9;23;4;17;0
0;38;10;170;96;11;18;1;24;1
2;102;51;535;339;49;52;3;70;2
21;121;58;621;150;25;53;5;62;1
2;55;20;161;141;17;47;3;22;0
4;55;14;281;106;12;19;2;38;0
5;137;60;446;301;35;66;6;65;1
5;63;31;154;158;21;9;4;30;1
3;82;61;448;323;46;65;4;83;8
11;199;114;1040;487;102;92;13;109;12
15;178;57;752;578;109;132;5;186;1
3;54;31;444;248;26;25;3;90;0
34;503;190;2191;1570;223;403;20;431;3
242;1816;524;6494;5477;753;1448;132;1989;12
1;42;11;94;53;3;9;2;26;0
47;765;201;2843;2261;374;481;39;915;4
29;251;69;627;750;117;144;16;192;2
7;49;21;148;117;32;36;0;34;0
9;96;40;257;270;43;80;6;163;1
3;42;10;187;145;35;40;6;22;0
27;434;124;2400;1385;278;226;20;612;3
28;290;85;818;766;113;175;16;198;0
1;14;18;50;58;14;16;0;34;0
35;226;85;862;852;163;162;10;356;0
3;63;20;123;153;27;36;2;28;0
294;2546;823;7268;7780;1224;1883;227;2221;8
14;160;55;500;464;60;72;13;125;0
1;29;3;26;80;13;16;1;36;0
39;248;84;883;871;193;172;4;520;1
193;1506;432;6306;4632;763;1129;110;1678;3
6;190;58;996;701;139;104;7;434;0
3;74;21;226;175;24;30;2;64;0
26;184;87;621;569;108;157;25;249;2
7;89;50;139;251;37;63;6;85;0
5;83;23;151;181;26;35;8;46;36
4;40;27;146;116;26;33;5;50;0
25;263;83;950;762;136;154;26;490;0
70;649;179;2515;2070;346;446;36;730;1
10;189;55;921;509;68;128;5;254;0
397;3080;1055;11201;11228;1276;2699;283;2975;25
3;44;9;159;46;12;12;0;7;1
2;36;20;87;135;8;22;2;48;2
10;95;33;277;239;30;36;2;95;0
18;200;70;1241;578;81;90;8;278;5
5;113;21;494;358;15;32;5;47;11
112;988;465;5499;3923;521;1070;117;856;22
5;90;30;464;217;11;28;1;57;0
10;107;48;401;362;55;63;4;119;2
1;19;9;146;152;13;7;1;59;0
1;9;4;47;28;2;1;1;5;0
3;138;44;387;360;40;42;0;77;1
8;86;9;371;276;17;26;1;43;0
1;25;5;137;104;9;16;2;18;0
2;24;20;115;174;7;21;4;30;0
3;111;26;318;422;36;49;4;155;0
0;85;13;144;146;3;18;0;21;1
0;16;8;103;104;5;10;3;21;1
8;108;30;422;371;35;41;4;105;1
11;116;84;635;444;66;112;24;140;1
9;110;29;466;305;24;81;3;137;1
0;11;6;49;52;1;11;2;4;0
3;39;6;198;118;18;46;7;29;0
7;41;16;137;241;48;57;3;80;0
5;167;63;824;401;46;76;8;164;0
8;117;47;542;361;45;34;9;73;4
3;28;13;185;137;7;10;1;30;0
2;23;17;102;59;6;4;1;29;3
13;239;93;1164;660;95;100;5;230;0
2;8;8;28;82;7;7;0;18;0
11;70;14;310;229;24;62;1;59;0
3;53;30;154;172;24;15;2;32;1
158;1726;549;8433;5600;654;1360;141;1579;14
4;23;9;138;143;12;13;0;30;0
8;34;20;140;183;26;35;2;70;0
121;765;312;4768;3590;525;754;64;1277;6
5;113;19;347;260;20;33;4;123;0
13;48;8;228;238;35;27;3;107;0
2;13;9;23;45;5;5;0;3;0
5;13;12;72;53;1;27;0;13;1
7;64;21;313;171;26;17;17;67;0
0;28;17;131;164;22;13;2;58;0
6;7;10;30;69;11;39;0;13;0
0;8;2;54;20;3;3;0;8;0
1;51;19;204;149;15;14;1;17;2
7;101;49;485;450;63;99;3;214;3
0;29;17;220;114;19;48;0;23;0
12;228;101;1589;863;136;137;14;257;7
13;105;36;429;301;25;49;1;70;0
4;44;22;98;195;28;23;1;49;0
15;288;71;1802;890;82;143;17;425;0
3;6;6;18;22;1;6;1;6;0
8;194;79;659;547;43;82;10;202;1
4;97;24;390;238;32;43;6;61;1
3;59;21;259;336;56;33;7;151;0
5;115;38;259;403;54;60;11;113;0
0;78;28;287;346;37;46;3;74;0
0;13;8;40;70;6;7;1;14;0
1;30;7;59;76;5;13;2;19;0
2;11;11;33;57;12;20;2;21;1
93;949;341;3236;3377;431;817;69;1167;11
8;43;26;267;321;26;28;1;104;0
16;160;65;268;411;61;88;7;92;0
4;28;31;81;92;26;29;4;27;1
16;98;98;443;355;37;79;14;75;1
22;54;47;107;186;23;50;6;29;4
12;117;95;672;546;129;149;9;221;2
18;193;41;518;523;50;70;11;160;3
0;39;8;74;75;8;9;5;3;0
33;453;152;2515;1966;272;358;25;791;2
4;38;22;128;116;10;14;2;64;0
9;81;18;226;302;26;39;2;94;0
16;32;14;85;78;4;11;2;6;0
27;318;101;2020;1319;150;139;18;316;0
1;33;16;63;77;18;10;0;6;0
1;17;6;80;60;16;27;0;14;0
8;73;37;278;350;65;59;2;114;0
22;228;81;1529;936;125;174;15;315;0
9;104;39;707;352;62;43;3;242;0
7;78;36;298;251;33;44;6;37;1
7;27;8;102;86;14;12;2;39;2
1;26;2;21;62;13;12;1;6;0
5;70;27;234;199;33;30;5;63;0
22;243;54;1266;793;130;90;7;348;35
1;37;8;118;114;10;13;2;21;0
5;163;24;594;371;29;42;5;150;1
9;173;38;848;484;34;63;3;118;1
123;936;593;3449;3010;382;1171;114;732;15
5;33;18;109;140;13;84;6;37;0
4;80;59;433;247;16;72;4;34;0
4;46;26;204;129;11;43;4;22;0
32;401;203;1993;981;114;345;24;210;3
6;65;40;526;228;29;53;12;50;0
1;54;43;342;131;17;25;1;5;1
7;137;74;618;279;35;86;2;41;0
11;156;85;565;408;40;103;6;169;0
2;106;59;301;224;18;36;4;39;0
3;77;53;346;168;19;62;12;68;0
8;107;84;846;341;46;117;8;83;1
12;116;101;601;340;35;72;19;183;3
5;108;42;620;198;24;78;6;62;0
8;172;108;810;532;68;126;17;76;0
4;89;60;347;163;34;43;13;94;0
9;281;213;1114;696;115;224;30;324;0
9;113;68;404;289;36;92;16;99;2
7;58;52;225;166;15;44;36;34;0
17;353;218;1764;948;102;219;29;309;0
21;184;140;1121;742;136;213;25;163;5
14;119;85;467;265;41;93;10;54;0
19;178;119;876;672;55;150;22;90;0
9;146;120;641;397;49;109;13;119;0
7;186;140;1252;716;95;132;8;247;0
7;47;43;97;157;21;55;10;26;0
284;2388;873;5919;7426;958;2204;260;1627;21
3;81;11;221;182;23;38;5;67;0
7;68;31;172;158;17;31;5;32;0
1;30;37;472;210;16;61;7;54;0
1;62;25;147;156;31;30;4;43;0
5;93;27;307;304;23;68;12;73;0
15;84;68;309;317;33;55;12;27;0
9;106;41;251;280;28;63;6;77;0
4;51;22;122;145;10;51;11;21;1
5;23;14;37;58;7;20;2;7;0
21;330;140;888;721;93;148;25;161;2
0;49;35;110;145;17;42;8;15;0
5;42;36;67;97;8;33;12;7;1
7;92;17;309;178;33;48;2;67;2
6;45;10;112;122;14;31;10;38;0
30;278;135;764;856;76;352;35;150;3
6;59;29;291;173;33;40;4;66;0
8;132;49;219;312;18;120;13;73;1
29;166;53;605;405;97;93;10;255;3
17;204;122;499;723;57;171;27;113;1
4;26;14;40;59;8;17;3;16;0
9;209;69;672;726;81;168;16;145;2
5;137;37;451;295;44;76;5;78;0
7;140;53;467;531;75;143;19;153;2
24;379;127;1329;1096;172;191;25;386;3
18;307;119;809;946;121;140;22;256;0
19;104;57;256;298;50;100;9;71;4
1;22;17;90;70;12;10;2;15;0
8;144;62;420;391;32;78;6;80;1
17;311;156;843;805;108;146;16;124;2
4;134;74;466;401;51;63;6;137;1
1;115;33;226;257;13;34;3;31;1
8;170;76;555;376;73;111;17;131;0
8;85;37;338;279;35;68;6;84;0
33;326;121;1549;1120;109;206;19;522;5
7;152;57;541;318;52;47;10;123;0
3;41;16;159;96;21;20;1;17;1
7;113;48;210;329;34;145;6;106;0
17;131;100;581;500;54;100;15;112;0
0;113;62;406;350;54;40;9;99;0
11;154;49;544;395;52;88;14;146;0
2;43;17;92;121;20;19;0;22;0
0;43;22;76;59;8;24;2;10;0
2;34;34;76;65;4;20;6;13;0
5;104;49;231;261;32;48;6;42;5
6;102;43;394;345;69;60;3;148;0
5;37;18;142;241;30;54;4;80;0
1334;16224;4211;79842;44047;6893;11144;982;11279;271
6;169;57;796;550;103;146;4;227;0
13;54;33;84;171;28;62;10;29;1
29;145;55;1263;490;44;90;10;165;5
1;88;35;396;165;29;23;5;58;2
10;59;30;124;166;19;63;6;47;1
152;1476;915;7906;5192;723;952;134;1471;98
68;1015;270;4333;2740;368;886;58;1428;11
16;231;62;719;711;149;212;21;168;0
29;444;106;1336;1122;159;215;27;408;5
22;211;45;879;486;113;126;15;178;3
48;459;177;1486;1096;239;349;49;386;26
125;1422;334;5812;4585;656;1158;57;1754;16
28;559;160;2107;1162;190;239;18;293;8
4;138;57;517;314;58;42;8;119;1
7;105;26;383;178;24;37;3;98;1
39;299;135;891;848;158;253;35;173;2
13;111;40;306;336;70;65;3;81;0
27;428;144;944;853;117;212;27;114;1
8;117;33;302;261;34;48;11;81;0
29;138;71;315;420;74;144;8;122;2
59;662;240;3287;1835;396;432;57;435;10
17;267;73;1730;601;123;115;8;255;0
38;316;79;2099;987;130;244;18;328;2
10;120;40;313;494;78;98;10;61;0
10;156;34;1246;511;140;128;10;388;5
198;1433;460;4124;4004;558;1264;118;925;4
43;464;174;1851;1119;247;361;22;285;8
20;227;34;888;476;52;84;11;258;0
13;135;40;386;396;77;82;2;146;0
23;320;98;853;761;83;174;21;254;3
27;80;45;285;326;63;109;8;120;0
36;545;108;1734;1297;193;236;27;544;1
9;91;30;509;336;60;67;8;76;0
7;251;54;999;663;106;108;8;155;3
114;1619;429;4386;4568;693;1138;92;1114;3
4;70;24;234;119;9;29;1;36;0
1;74;23;130;147;24;36;1;6;0
6;155;42;733;289;24;41;4;53;0
17;171;50;804;480;114;112;15;280;1
74;585;207;1838;1671;377;608;49;344;23
32;334;126;1380;1050;149;261;19;301;4
34;331;184;1366;1047;170;269;32;274;2
12;293;164;1628;1023;154;180;19;367;0
0;29;13;101;47;18;6;3;4;0
19;132;51;664;349;49;55;7;78;3
1;12;12;29;25;6;11;1;2;0
28;371;175;2566;1199;182;202;29;372;1
12;247;138;1225;746;98;129;15;174;4
67;707;356;2550;2138;446;677;80;661;6
17;171;87;846;550;105;172;9;230;0
3;28;9;95;51;11;7;1;11;0
5;81;61;433;175;31;37;6;48;7
0;15;8;57;37;2;5;0;11;0
3;58;23;290;172;22;56;10;78;0
8;122;80;508;372;48;67;15;65;1
6;99;50;350;207;46;44;9;43;0
1;51;26;145;131;31;40;2;42;0
12;164;100;639;401;58;111;19;67;2
3;135;63;628;291;56;65;2;91;3
0;25;9;171;99;22;21;0;15;0
2;19;6;28;49;7;24;1;10;0
0;13;6;25;29;11;9;1;14;0
4;21;30;39;48;6;28;2;16;0
8;38;11;114;139;21;22;2;34;1
12;67;63;199;174;44;72;7;34;2
6;53;33;102;103;19;34;4;18;1
7;143;74;551;457;102;136;3;124;2
27;514;167;1396;1072;192;255;28;232;2
1;149;32;640;247;46;32;3;25;1
22;353;132;1405;883;167;175;21;197;1
36;561;203;2319;1357;237;267;50;440;76
6;107;41;333;266;52;44;9;47;4
5;145;117;863;417;101;49;7;106;16
11;78;94;320;166;35;46;10;17;9
7;271;63;1099;700;116;119;10;183;0
11;126;25;419;373;54;62;10;136;0
7;176;63;791;408;86;68;36;175;0
3;124;29;473;319;44;36;6;45;0
10;255;96;1058;617;141;144;14;191;2
16;255;97;1154;471;123;85;11;164;1
11;58;44;144;184;23;57;15;29;0
2;6;3;6;29;3;18;1;2;0
8;129;91;496;332;54;68;18;86;19
1;17;12;41;40;7;6;1;7;6
1;12;10;50;79;14;16;1;22;7
0;16;17;52;34;7;3;1;6;6
0;4;2;4;4;2;0;0;1;0
0;8;4;32;9;5;2;1;10;4
1;14;5;38;35;8;5;0;6;4
0;9;10;56;23;4;7;1;1;4
2;30;11;78;48;9;11;10;11;2
4;9;8;48;38;3;3;0;6;0
0;5;12;45;28;8;7;1;4;1
6;102;77;643;208;32;44;11;61;9
1;25;25;78;25;5;3;1;5;11
0;1;3;1;1;0;0;0;0;2
0;0;2;5;6;2;1;1;0;1
0;3;2;35;33;3;7;0;10;4
0;1;2;18;3;1;3;0;1;0
1;13;7;54;18;10;3;0;8;8
1;9;5;10;8;0;0;0;5;0
20;343;176;1349;761;157;167;22;221;14
6;46;35;230;150;31;22;3;26;6
4;101;54;447;277;41;42;3;56;11
1;56;23;269;74;23;8;0;15;22
9;138;98;588;281;105;34;16;82;51
1;25;15;66;50;9;2;2;15;12
1;10;18;40;32;4;1;3;5;6
0;2;2;5;6;3;0;1;1;2
0;1;0;3;2;0;1;0;1;2
0;2;4;17;7;3;0;0;1;1
9;78;39;282;188;34;41;7;52;11
4;59;27;224;74;11;18;3;21;0
3;15;11;71;42;4;9;4;8;0
7;100;63;371;195;42;23;11;44;204
