Fecha;RENTABILIDAD
03.06.2023;11,17
02.06.2023;11,17
01.06.2023;11,209
31.05.2023;11,2
30.05.2023;11,17
29.05.2023;11,221
26.05.2023;11,425
25.05.2023;11,48
24.05.2023;11,39
23.05.2023;11,33
19.05.2023;11,191
18.05.2023;11,13
17.05.2023;11,04
16.05.2023;11,04
15.05.2023;11,109
12.05.2023;11,24
11.05.2023;11,34
10.05.2023;11,45
09.05.2023;11,38
08.05.2023;11,35
05.05.2023;11,5
04.05.2023;11,6
03.05.2023;11,81
02.05.2023;12,05
28.04.2023;11,95
27.04.2023;11,899
26.04.2023;11,63
25.04.2023;11,436
24.04.2023;11,41
21.04.2023;11,555
20.04.2023;11,51
19.04.2023;11,62
18.04.2023;11,526
17.04.2023;11,646
15.04.2023;11,5
14.04.2023;11,5
13.04.2023;11,54
12.04.2023;11,65
11.04.2023;11,85
10.04.2023;11,86
05.04.2023;11,4
04.04.2023;11,563
03.04.2023;11,65
31.03.2023;11,8
30.03.2023;12,01
28.03.2023;12,166
27.03.2023;12,04
24.03.2023;12,051
23.03.2023;12,14
22.03.2023;12,385
21.03.2023;12,415
18.03.2023;12,55
17.03.2023;12,55
15.03.2023;12,649
14.03.2023;12,5
13.03.2023;12,4
10.03.2023;12,349
09.03.2023;12,544
08.03.2023;12,589
07.03.2023;12,3
06.03.2023;12,4
03.03.2023;12,65
02.03.2023;13,19
01.03.2023;13,19
28.02.2023;13,3
27.02.2023;13,054
24.02.2023;13,155
23.02.2023;12,96
22.02.2023;13,099
21.02.2023;13,55
20.02.2023;13,47
19.02.2023;13,2
18.02.2023;13,2
17.02.2023;13,2
16.02.2023;12,733
14.02.2023;12,2
13.02.2023;12,181
10.02.2023;12,044
09.02.2023;11,922
08.02.2023;11,9
07.02.2023;11,61
06.02.2023;11,8
05.02.2023;11,75
04.02.2023;11,75
03.02.2023;11,75
02.02.2023;11,656
01.02.2023;11,95
31.01.2023;12,221
30.01.2023;12,24
27.01.2023;12,15
26.01.2023;12,08
25.01.2023;12,132
24.01.2023;12,202
23.01.2023;12,498
20.01.2023;12,409
19.01.2023;12,5
18.01.2023;12,2
17.01.2023;12,44
16.01.2023;12,249
15.01.2023;12,05
14.01.2023;12,05
13.01.2023;12,05
12.01.2023;12,481
10.01.2023;13,17
06.01.2023;13,3
04.01.2023;13,49
03.01.2023;13,282
02.01.2023;13,221
29.12.2022;13
28.12.2022;13
27.12.2022;12,994
26.12.2022;12,9
23.12.2022;12,7
22.12.2022;12,71
21.12.2022;12,9
20.12.2022;12,9
19.12.2022;13,02
16.12.2022;12,84
15.12.2022;12,95
14.12.2022;13,11
13.12.2022;13
12.12.2022;13,275
09.12.2022;13
07.12.2022;12,65
06.12.2022;12,46
05.12.2022;12,42
02.12.2022;12,2
01.12.2022;12,601
30.11.2022;13,07
29.11.2022;13,2
28.11.2022;13,3
26.11.2022;13,251
25.11.2022;13,251
24.11.2022;12,999
23.11.2022;13,001
22.11.2022;13,28
18.11.2022;13,44
17.11.2022;13,6
16.11.2022;13,3
15.11.2022;13,15
11.11.2022;13,5
10.11.2022;13,453
09.11.2022;13,95
08.11.2022;13,912
03.11.2022;14,5
02.11.2022;14,219
01.11.2022;14
31.10.2022;13,85
30.10.2022;13,76
29.10.2022;13,76
28.10.2022;13,76
27.10.2022;14
26.10.2022;13,7
25.10.2022;14,1
24.10.2022;14,602
21.10.2022;15
20.10.2022;15
19.10.2022;14,35
18.10.2022;14,01
14.10.2022;13,903
13.10.2022;13,6
12.10.2022;13,45
11.10.2022;13,415
10.10.2022;13,37
07.10.2022;13,12
06.10.2022;13,13
05.10.2022;12,789
04.10.2022;12,63
03.10.2022;12,666
02.10.2022;12,75
01.10.2022;12,75
30.09.2022;12,75
29.09.2022;12,78
27.09.2022;12,71
26.09.2022;12,72
23.09.2022;12,55
22.09.2022;12,48
21.09.2022;12,435
20.09.2022;12,435
19.09.2022;12,22
17.09.2022;12,4
16.09.2022;12,485
15.09.2022;12,525
14.09.2022;12,525
13.09.2022;12,659
12.09.2022;12,529
11.09.2022;12,363
10.09.2022;12,363
09.09.2022;12,363
08.09.2022;12,3
07.09.2022;12,331
06.09.2022;12,423
05.09.2022;12,35
02.09.2022;12,191
01.09.2022;12,261
30.08.2022;12,1
29.08.2022;12,06
26.08.2022;11,9
25.08.2022;12,02
23.08.2022;12,195
22.08.2022;12,165
19.08.2022;12,067
18.08.2022;11,812
14.08.2022;11,8
12.08.2022;11,8
11.08.2022;11,725
10.08.2022;11,8
09.08.2022;12,185
08.08.2022;12,179
05.08.2022;12,17
04.08.2022;11,596
03.08.2022;11,913
02.08.2022;11,885
01.08.2022;11,925
30.07.2022;12,3
29.07.2022;12,3
28.07.2022;12,7
27.07.2022;12,927
26.07.2022;12,955
25.07.2022;12,9
22.07.2022;13,076
21.07.2022;13,175
19.07.2022;13,15
18.07.2022;12,988
16.07.2022;13,27
15.07.2022;13,27
14.07.2022;13,3
13.07.2022;12,599
12.07.2022;12,667
11.07.2022;12,35
10.07.2022;11,88
09.07.2022;11,88
08.07.2022;11,88
07.07.2022;11,69
06.07.2022;11,6
05.07.2022;11,24
02.07.2022;11,5
01.07.2022;11,5
30.06.2022;11,686
29.06.2022;11,65
28.06.2022;11,65
24.06.2022;11,855
23.06.2022;11,9
22.06.2022;12,25
21.06.2022;12,122
17.06.2022;11,41
16.06.2022;11,66
15.06.2022;11,596
14.06.2022;11,83
13.06.2022;11,7
10.06.2022;11,423
09.06.2022;11,45
08.06.2022;11,55
07.06.2022;11,38
06.06.2022;11,1
03.06.2022;10,797
02.06.2022;10,8
01.06.2022;11,13
31.05.2022;10,9
29.05.2022;11,2
27.05.2022;11,2
26.05.2022;11,262
25.05.2022;11,45
24.05.2022;11,71
23.05.2022;11,65
20.05.2022;11,699
19.05.2022;11,76
18.05.2022;11,962
17.05.2022;12,085
16.05.2022;11,8
13.05.2022;11,531
12.05.2022;11,365
11.05.2022;11,26
10.05.2022;11,245
09.05.2022;11,11
06.05.2022;10,955
05.05.2022;10,75
04.05.2022;10,66
03.05.2022;10,78
02.05.2022;10,78
29.04.2022;10,578
28.04.2022;10,36
