BVC;CANACOL;ISA;GRUBOLIVAR;PFDAVVNDA;ECOPETROL;PFBCOLOM;BCOLOMBIA;COLCAP
17;28500;7250;55500;26560;1675;27360;26100;1320
17;28400;7250;55500;26340;1650;27120;26100;1313
17;27050;7280;55500;26520;1635;27000;25740;1310
17;26400;7300;55500;26380;1650;26900;25600;1306
17;26000;7210;55500;26020;1600;26660;25420;1296
17;26650;7240;55500;26220;1645;26760;25680;1301
17;26600;7240;55500;26300;1625;27700;26500;1311
17;27200;7290;55500;26340;1635;27360;26400;1314
17;29500;7450;55500;26700;1655;27560;26500;1325
17;29200;7480;55500;26400;1635;27600;26300;1324
17;29150;7410;55500;26520;1630;27600;26380;1326
17;29750;7330;58200;26200;1610;27400;26120;1309
17;29650;7150;58200;26380;1635;26800;25500;1301
17;29750;7200;58200;26300;1610;26900;25420;1306
16;29700;7110;58200;26000;1625;27200;25780;1307
16;28900;7090;58220;25900;1585;27300;25780;1303
16;27000;6940;58220;25700;1545;27220;25820;1293
16;27250;6950;58220;25800;1560;27360;26300;1298
16;27500;7190;58220;26260;1640;27940;26400;1325
16;28250;7160;58220;26380;1645;27700;26480;1322
16;27500;7080;58220;26480;1610;27660;26020;1317
16;26750;7020;58220;25920;1565;27680;26260;1299
16;26000;7030;58220;26100;1580;27700;26260;1298
16;25500;7090;58220;26100;1530;28000;26600;1289
16;25800;7000;58220;25760;1565;28000;26680;1291
16;26550;7120;58200;25500;1540;27720;26480;1285
16;25750;7060;58200;25380;1500;27300;26200;1272
16;25950;7050;58200;25460;1530;27320;26060;1281
16;25250;6780;58200;25060;1530;27240;25740;1272
16;25600;6900;58200;24920;1510;26760;25500;1269
16;26500;6800;58200;24860;1515;26020;24700;1261
16;26450;6860;58200;24240;1450;25080;23900;1240
16;26950;6670;58200;23920;1465;24840;24000;1229
16;26500;6310;58200;23440;1460;24100;23040;1193
16;25050;5720;58200;22160;1430;24200;22960;1151
16;25700;5420;58200;22340;1425;24400;23120;1150
16;25550;5610;58200;22320;1425;24920;23680;1153
16;27150;6230;58200;22400;1510;25800;24500;1199
16;28000;6300;58200;22980;1545;25980;24440;1218
16;28400;6640;58200;23840;1595;26380;24960;1247
16;27800;6500;58200;23000;1500;25700;24200;1211
16;28350;6420;58200;23840;1520;26200;24980;1219
16;30950;6700;58200;23840;1515;26420;25160;1239
16;30000;6700;58200;24880;1500;25800;24480;1236
16;29100;6710;58200;25500;1475;25720;24560;1242
16;30000;6680;58200;25440;1465;26240;25000;1245
16;28800;7000;58200;24960;1435;25600;24520;1234
16;28450;7050;58200;25880;1450;26160;24460;1255
16;28500;7000;58200;25580;1405;25700;24340;1250
16;27500;7040;58200;25360;1410;25980;24460;1250
16;28100;7150;58200;24700;1395;26080;24540;1254
16;31850;7190;58200;25200;1425;26560;25180;1265
16;33750;7210;58200;24980;1440;26140;24880;1264
16;34000;7000;59000;24300;1425;25800;24320;1249
16;34350;6840;59000;23500;1415;25420;24100;1234
16;32800;6990;59000;22900;1395;24640;23400;1215
