Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;Relacionarse
12018;4043;47520;44710;6830;14718;1019;15648;2177
215;82;1003;1014;112;107;11;272;6
54;12;126;87;35;26;5;16;0
19;15;103;95;19;36;2;16;6
182;81;654;748;150;267;20;299;18
134;55;572;468;111;120;18;133;29
292;131;1240;1234;211;340;15;616;26
103;40;434;338;43;90;2;100;10
120;50;614;557;128;117;5;153;10
123;78;439;537;115;103;9;145;15
223;89;504;503;72;127;9;84;9
61;20;340;179;36;47;1;29;4
682;308;3161;2003;327;558;40;698;48
216;128;1068;589;81;135;11;58;11
47;21;144;243;27;32;4;66;4
55;14;79;124;25;29;3;12;3
265;119;890;1094;152;245;32;413;43
47;23;157;171;20;29;4;21;6
2367;824;10287;9069;1508;2637;235;3456;454
66;19;201;275;35;78;18;120;7
139;78;474;441;101;97;10;130;14
273;102;1017;757;117;174;20;244;25
75;26;448;311;48;68;5;40;3
44;19;88;126;13;32;1;20;2
191;116;1312;551;78;73;13;82;6
72;34;334;338;54;70;2;64;4
572;185;3580;2556;440;472;34;921;93
73;48;330;332;63;38;7;74;6
90;50;327;268;29;59;10;107;10
32;20;172;145;13;45;4;23;4
68;15;182;126;18;25;2;34;5
143;101;693;491;85;219;18;122;9
492;137;3643;1618;219;465;17;541;48
22;18;47;86;10;16;4;19;4
327;172;1528;1245;201;412;28;286;35
269;162;1192;876;197;308;19;434;27
100;27;322;329;47;54;12;131;11
162;64;734;761;94;203;12;355;38
25;14;61;111;8;23;4;26;7
222;83;701;573;74;79;10;200;7
793;230;5491;2818;449;627;46;1383;80
274;83;1018;741;89;158;9;114;12
50;34;165;182;28;62;10;40;9
151;53;580;779;80;132;5;224;8
107;82;323;274;50;82;14;77;7
100;30;365;188;31;68;4;103;9
1073;266;4652;3273;381;1153;120;995;164
135;68;420;615;109;147;17;229;14
159;74;578;508;75;102;10;162;27
30;28;123;75;8;29;6;17;1
322;130;2540;1512;211;499;17;370;50
156;41;551;327;59;85;1;54;7
111;51;635;352;53;114;3;164;10
49;23;172;152;48;37;1;32;7
204;88;375;783;140;347;20;219;35
19;14;72;115;23;44;9;37;5
69;35;261;317;47;53;5;125;9
68;34;327;199;25;69;25;20;3
2054;582;9284;6575;953;1795;92;2203;227
155;101;470;520;119;113;12;113;20
143;62;360;574;99;78;14;129;15
97;31;314;339;31;76;12;145;14
236;93;720;1010;160;330;35;289;63
457;141;2654;1658;258;410;36;507;89
82;28;304;274;43;59;5;50;1
186;54;1174;829;106;219;9;358;29
148;34;531;430;41;62;6;116;2
50;39;255;271;38;45;3;63;2
340;96;1081;1519;178;401;27;645;70
97;25;310;393;58;86;4;126;8
21;33;173;46;9;11;0;3;1
98;60;431;275;50;73;10;73;14
79;55;270;405;57;76;11;73;6
234;117;1058;667;126;165;14;152;14
117;73;407;367;59;80;10;109;9
36;17;77;97;8;19;3;10;0
115;48;569;759;107;170;8;391;28
123;27;344;358;61;76;11;141;6
85;49;446;472;48;62;5;166;9
215;112;1286;858;109;150;31;272;22
131;44;869;489;81;75;8;85;9
117;49;697;321;34;42;9;126;7
115;57;421;327;39;54;11;51;8
97;40;200;335;56;118;8;82;16
421;170;883;1458;258;532;56;439;62
69;39;192;281;34;55;6;37;6
498;124;1601;1626;279;420;42;384;66
141;60;722;519;98;149;6;135;9
21;9;53;80;13;18;2;14;4
83;48;410;524;92;105;9;234;18
57;16;278;220;27;45;3;55;3
37;27;117;257;55;82;9;39;4
14;11;55;38;4;14;1;5;3
86;44;386;276;36;103;6;27;4
66;30;160;188;13;32;5;31;4
114;36;536;371;49;97;4;66;9
156;116;674;431;54;119;10;65;16
212;74;681;691;90;105;9;192;13
230;72;1128;906;108;143;9;206;13
113;35;211;420;39;163;9;78;12
166;73;355;621;107;194;14;211;25
